2.3261,0.0002159,2.2982,0.0013889,2.3005,0.001578,0.00096054,0.00023986,1,67590,-93093,-4008.6,15.022,53.534,9.9e+37,40.77,9.9e+37,32.987,9.9e+37,32.486,9.9e+37,37.755,9.9e+37,51.267,863.14,863.76,865.17,869.94,866.29,866.34
2.3254,0.00033988,0.12292,0.0043019,0.03975,0.0012318,0.00135,0.00024746,2,67590,-93093,-4008.6,14.852,53.534,9.9e+37,40.77,9.9e+37,32.987,9.9e+37,32.486,9.9e+37,37.755,9.9e+37,51.267,863.14,863.76,865.17,869.94,866.29,866.34
2.3258,0.00030569,2.3091,0.00042329,2.3073,0.00046834,0.00082925,0.00023759,3,67590,-93093,-4008.6,14.699,53.534,9.9e+37,40.77,9.9e+37,32.987,9.9e+37,32.486,9.9e+37,37.755,9.9e+37,51.267,863.14,863.76,865.17,869.94,866.29,866.34
2.3227,0.00024891,0.58039,0.0021465,0.16381,0.00066774,0.004658,0.00029433,4,67590,-93093,-4008.6,14.606,53.534,9.9e+37,40.77,9.9e+37,32.987,9.9e+37,32.486,9.9e+37,37.755,9.9e+37,51.267,863.14,863.76,865.17,869.94,866.29,866.34
2.3258,0.0003109,2.3098,0.00067418,0.010392,0.015604,0.00073807,0.00022994,5,67590,-93093,-4008.6,14.54,53.534,9.9e+37,40.77,9.9e+37,32.987,9.9e+37,32.486,9.9e+37,37.755,9.9e+37,51.267,863.14,863.76,865.17,869.94,866.29,866.34
2.3228,0.0002663,0.61075,0.0014798,0.00050456,0.014744,0.0048577,0.00021307,6,67590,-93093,-4008.6,14.444,53.534,9.9e+37,40.77,9.9e+37,32.987,9.9e+37,32.486,9.9e+37,37.755,9.9e+37,51.267,863.14,863.76,865.17,869.94,866.29,866.34
2.3255,0.00025997,0.58117,0.0068948,0.0020341,0.014721,0.0014497,0.00022596,7,67590,-93093,-4008.6,14.351,53.534,9.9e+37,40.77,9.9e+37,32.987,9.9e+37,32.486,9.9e+37,37.755,9.9e+37,51.267,863.14,863.76,865.17,869.94,866.29,866.34
2.3226,0.00029321,0.42087,0.0038732,0.0024694,0.015042,0.0047811,0.00024826,8,67590,-93093,-4008.6,14.312,53.534,9.9e+37,40.77,9.9e+37,32.987,9.9e+37,32.486,9.9e+37,37.755,9.9e+37,51.267,863.14,863.76,865.17,869.94,866.29,866.34
2.3254,0.00027636,0.56755,0.0029275,0.45207,0.0029496,0.0015001,0.00021999,9,67590,-93093,-4008.6,14.244,53.534,9.9e+37,40.77,9.9e+37,32.987,9.9e+37,32.486,9.9e+37,37.755,9.9e+37,51.267,863.14,863.76,865.17,869.94,866.29,866.34
2.3224,0.00029304,0.2795,0.0029632,0.43294,0.0017198,0.0049778,0.00024977,10,67590,-93093,-4008.6,14.214,53.534,9.9e+37,40.77,9.9e+37,32.987,9.9e+37,32.486,9.9e+37,37.755,9.9e+37,51.267,863.14,863.76,865.17,869.94,866.29,866.34
